user_vec,shop_vec,distance [m],cosθ,id,shop_name,URL,genre,oaiso_genre,lat,lng,address,budget_lunch_min,budget_lunch_max,budget_dinner_min,budget_dinner_max
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",152.00006544246745,1.0,61084,BEEF UP TOKYO charcoal grill & bar,https://tabelog.com/tokyo/A1302/A130202/13036705/,ステーキ、ワインバー、鉄板焼き,洋食・西洋料理,35.67539611,139.7672664,東京都中央区京橋3-6-18東京建物京橋ビル　B1,1000,1999,,
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",348.5758413573593,1.0,60700,藤尾,https://tabelog.com/tokyo/A1302/A130202/13053769/,焼鳥、串焼き,Ｂ級和食,35.67517797,139.7723909,東京都中央区八丁堀3-9-5,,,4000,4999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",293.18426510684213,1.0,60032,はっちゃけ,https://tabelog.com/tokyo/A1302/A130202/13054505/,居酒屋,居酒屋,35.67455492,139.7713388,東京都中央区八丁堀4-2-2共同ビル新京橋,0,999,3000,3999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",469.8823603370122,1.0,64317,サイアムセラドン 銀座店,https://tabelog.com/tokyo/A1301/A130101/13156628/,タイカレー、タイ料理、レストラン（その他）,創作料理・無国籍料理,35.67405333,139.7641631,東京都中央区銀座2-4-6銀座ベルビア館a館7F,1000,1999,4000,4999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",79.89531389732538,1.0,62672,アリスアクアガーデン トウキョウ 銀座店,https://tabelog.com/tokyo/A1302/A130201/13159258/,レストラン（その他）,創作料理・無国籍料理,35.67568361,139.7679864,東京都中央区京橋3-7-1京橋相互館110タワーＢ1Ｆ,1000,1999,4000,4999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",375.99067249029105,1.0,65063,中華・香港居酒屋 龍記 東京・八重洲店,https://tabelog.com/tokyo/A1302/A130201/13209518/,居酒屋、中華料理,居酒屋,35.67937139,139.7676392,東京都中央区京橋1-4-13初音ビル,,,3000,3999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",377.7115084329963,1.0,58579,スタア・バー・ギンザ,https://tabelog.com/tokyo/A1301/A130101/13002270/,バー,バー・お酒,35.67478667,139.7648583,東京都中央区銀座1-5-13三弘社ビル　Ｂ１Ｆ,4000,4999,5000,5999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",250.43709202810157,1.0,61516,和どころ いちふじ,https://tabelog.com/tokyo/A1301/A130101/13203352/,割烹・小料理,高級和食,35.67424556,139.7671267,東京都中央区銀座1-9-5池田ビルB1F,,,3000,3999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",486.5610020446592,1.0,58414,こうじのはな 東京駅前店,https://tabelog.com/tokyo/A1302/A130201/13186245/,和食（その他）、日本酒バー,Ｂ級和食,35.68026528,139.7670392,東京都中央区八重洲2-1-46F,3000,3999,3000,3999
"1,0,0,0,1","3.0,0.0,0.0,0.0,3.0",136.29634081444817,1.0,60724,酒蔵駒忠 京橋三丁目店,https://tabelog.com/tokyo/A1302/A130202/13075670/,居酒屋,居酒屋,35.67487417,139.7685656,東京都中央区京橋3-9-9,,,3000,3999
